AoA,CL,CD,camber,camber_loc,thickness,Re
14.0,0.8169,0.19438,1,2,06,50000
16.0,0.8584,0.22694,1,2,06,50000
-2.0,-0.1588,0.01183,1,2,06,100000
2.0,0.2725,0.01183,1,2,06,100000
4.0,0.5492,0.01313,1,2,06,100000
6.0,0.7268,0.02761,1,2,06,100000
10.0,0.775,0.119,1,2,06,100000
12.0,0.7821,0.15359,1,2,06,100000
14.0,0.8054,0.18662,1,2,06,100000
16.0,0.8642,0.2279,1,2,06,100000
-2.0,-0.1525,0.0102,1,2,06,250000
0.0,0.0584,0.00681,1,2,06,250000
2.0,0.3514,0.00683,1,2,06,250000
4.0,0.5409,0.00995,1,2,06,250000
6.0,0.7295,0.02023,1,2,06,250000
8.0,0.8483,0.05609,1,2,06,250000
10.0,0.7959,0.10383,1,2,06,250000
12.0,0.4101,0.07478,1,2,06,250000
14.0,0.4512,0.10459,1,2,06,250000
16.0,0.4911,0.13,1,2,06,250000
-2.0,-0.1175,0.00668,1,2,06,1000000
0.0,0.1087,0.00348,1,2,06,1000000
2.0,0.3325,0.00495,1,2,06,1000000
4.0,0.5397,0.00777,1,2,06,1000000
6.0,0.7417,0.01364,1,2,06,1000000
-2.0,-0.0922,0.02378,2,2,06,50000
0.0,0.1156,0.015,2,2,06,50000
2.0,0.287,0.01798,2,2,06,50000
4.0,0.6582,0.02048,2,2,06,50000
6.0,0.8352,0.02461,2,2,06,50000
8.0,0.9748,0.0505,2,2,06,50000
10.0,0.9199,0.09522,2,2,06,50000
12.0,0.864,0.16642,2,2,06,50000
14.0,0.8589,0.19248,2,2,06,50000
16.0,0.9242,0.23412,2,2,06,50000
-2.0,-0.0873,0.01995,2,2,06,100000
0.0,0.1217,0.01102,2,2,06,100000
2.0,0.4368,0.01182,2,2,06,100000
4.0,0.6405,0.01443,2,2,06,100000
6.0,0.8233,0.01967,2,2,06,100000
8.0,0.9832,0.04223,2,2,06,100000
10.0,0.907,0.0932,2,2,06,100000
12.0,0.4826,0.07304,2,2,06,100000
14.0,0.4895,0.10494,2,2,06,100000
16.0,0.5307,0.13168,2,2,06,100000
-2.0,-0.0854,0.01431,2,2,06,250000
0.0,0.2063,0.00698,2,2,06,250000
2.0,0.4362,0.00733,2,2,06,250000
4.0,0.6351,0.01039,2,2,06,250000
6.0,0.8296,0.01587,2,2,06,250000
8.0,0.9893,0.03803,2,2,06,250000
10.0,0.6456,0.02185,2,2,06,250000
12.0,0.5021,0.0603,2,2,06,250000
14.0,0.8722,0.17858,2,2,06,250000
-2.0,-0.0006,0.00722,2,2,06,1000000
0.0,0.172,0.0,2,2,06,1000000
2.0,0.3585,0.0,2,2,06,1000000
4.0,0.5546,0.0,2,2,06,1000000
8.0,0.8688,0.00083,2,2,06,1000000
10.0,0.7524,0.00759,2,2,06,1000000
12.0,0.6643,0.02492,2,2,06,1000000
-2.0,-0.0603,0.03115,3,2,06,50000
0.0,0.172,0.02026,3,2,06,50000
2.0,0.5013,0.01949,3,2,06,50000
4.0,0.7418,0.02228,3,2,06,50000
6.0,0.9398,0.03186,3,2,06,50000
8.0,1.0646,0.03548,3,2,06,50000
10.0,1.1304,0.06884,3,2,06,50000
12.0,0.9526,0.13217,3,2,06,50000
14.0,0.9109,0.19078,3,2,06,50000
16.0,0.9574,0.22518,3,2,06,50000
-2.0,-0.0643,0.0287,3,2,06,100000
0.0,0.2154,0.01639,3,2,06,100000
2.0,0.5316,0.01171,3,2,06,100000
4.0,0.7285,0.01596,3,2,06,100000
6.0,0.9399,0.02123,3,2,06,100000
8.0,1.0757,0.03079,3,2,06,100000
10.0,1.1422,0.06042,3,2,06,100000
12.0,0.9794,0.11873,3,2,06,100000
14.0,0.9242,0.18373,3,2,06,100000
16.0,0.9638,0.21876,3,2,06,100000
